formula,target
BiTeIO3,1
CrSbO4,1
Nb3SiTe6,1
HoBrO,1
Mn(CoO3)2,1
Sr2MnClO3,1
Hg2MoO4,1
LiBH4,1
VO2,1
TmBrO,1
Ba2TiO4,1
MgSnF4,1
FeClO,1
Ti(WO4)2,1
PuI3,1
BaCuReO5,1
V4Ag2O11,1
TiCl3,1
ZrH3NF4,1
NaH4IO2,1
Ni(IO3)2,1
Ba2Sb2O5,1
BaCuSbO5,1
TlVO3,1
Ti(CoO3)2,1
Sb4Cl2O5,1
ReSe2,1
CrPO4,1
NdTe3,1
TlP5,1
RbAsO2,1
Ca(BiO2)4,1
AgHgSBr,1
MgBi2O5,1
Al2CdCl8,1
TlAsS2,1
BaNiF4,1
Ti3H2O7,1
U(HO2)2,1
NaAu(SO4)2,1
B3C10N3,1
CaCr2F12,1
CdP2H6O7,1
Sb2TeSe2,1
BaCuWO5,1
ZrTe2Br5,1
CdCN2,1
NbSe2,1
Lu4B3C4,1
BaCaI4,1
AuClO2,1
HoSb2,1
Te3(PdBr)4,1
TiCo3O8,1
Nb2VZn2O8,1
ZrTiTe4,1
Hg2SO4,1
Tl2SnS3,1
Nb2Te4Cl10O,1
Mn3SbO8,1
CdBiS2Cl,1
InSb2Se4Br,1
Ti2ZnO5,1
LiCu2F5,1
AuCClO,1
Sc2Te5O13,1
Y7C3I6O,1
CrCu(PS3)2,1
Te6Br2O11,1
VOF3,1
Zn2In2S5,1
PbWO4,1
TlSbO3,1
NbTlBr4O,1
InSb2S4Cl,1
FeWClO4,1
Si3Bi2O9,1
SnBrF,1
SbOF,1
TiPb9O11,1
UTeO,1
Ba2Ti3O7,1
Bi2PbSe4,1
HgINO3,1
TiBi2O5,1
Lu2Te5O13,1
MnSb2F12,1
Zn2Ag2O5,1
TiV2CrO10,1
Mg(SbO2)2,1
Ba2LiN,1
Li3Fe2F9,1
CoTeO4,1
Fe(PS3)2,1
Re3Se4Cl,1
ZnBi2O5,1
Sb2WO6,1
VTeO4,1
PuIO,1
Sb4O5F2,1
ReS2,1
K(MoO3)3,1
KCrClO3,1
TaF5,1
CdHClO,1
Cr2S5,1
Mn2F7,1
Sr2CrCu2O7,1
CrAgSe2,1
LiTeO3,1
H2WO4,1
Zn2W2O5,1
Zn(SbO2)2,1
CoSe,1
Mg2Mo3O8,1
Ca(SbO2)2,1
Mg2Al2Se5,1
Y2Te5O13,1
Mg2Ag2O5,1
CaP(H2O3)2,1
Bi3Se4,1
Sr3Co2S2O5,1
Fe(HO)2,1
Zn2SeCl2O3,1
VZnF4,1
Be(BC)2,1
InBr3,1
Li2BiO3,1
Sb2P3(HO3)3,1
ZrPbF6,1
CuHgSBr,1
V2Re2O11,1
Sb2Te2Se,1
CuBiO2,1
FePS3,1
Mg3P2(HO)16,1
Ta3(OF)5,1
Nb2TlPS10,1
BiPPbO5,1
HoTe2ClO5,1
NaBF4,1
Cr3Sb5O16,1
Zn,1
Si2H2O5,1
CaP2H6O7,1
Mg3Si4(HO6)2,1
NiP2,1
Y2(CuO2)3,1
Si2O5,1
CrCuO4,1
MgPSe3,1
MoN2,1
Cd,1
Zr3(Al2C3)2,1
Zn2Co3O8,1
NbV3O10,1
RuF4,1
IClOF,1
K2CoSe2,1
CoAsS,1
Sr2Cu2NiO7,1
SrCuBiO4,1
Mg(BH4)2,1
CuCClO,1
Mn5O9F,1
LiH2NO3,1
Tl2O,1
Cr3O8,1
InTeO3F,1
Ba2Ni3O7,1
Sr2CoSO3,1
HgIBr,1
Co2SbO6,1
Sn3(P2O7)2,1
Hg3Au,1
Bi4O5F2,1
Tl2S,1
Ga2Te3,1
SmGa2Co,1
K2U3(IO5)4,1
Ge3(Te3As)2,1
LaPb6BrO7,1
Pb(ClO2)2,1
La2(BiO2)7,1
AgBiO2,1
Zn2Cr3O8,1
Mg3(HO2)2,1
BaYSn4O7,1
NbSe3,1
KH(CN2)3,1
Mg(AlSe2)2,1
BaV4O8,1
MgPS3,1
MnCoO4,1
Ca(SnO2)2,1
VCl2O,1
CaTi4O9,1
Li4Co(PO4)2,1
Mn(PO4)2,1
CrSiTe3,1
TlFeSe2,1
KB(CO2)4,1
HfSnO3,1
Nb2CrO8,1
VF4,1
TiOF2,1
Na2H6PtO6,1
CaSb2O5,1
LiCuO,1
LiAg(CO2)2,1
KV4O10,1
Ta2TiZn2O8,1
PtS2,1
MgMn2O5,1
CrTe3,1
Li4VF8,1
S(IO3)2,1
BaAlSn4O7,1
Bi2Pb2Se5,1
Ca3Zn,1
Li2P4WO13,1
SmH2ClO2,1
LiCoPO4,1
Ba2Tl2CuO6,1
YGe3,1
Sb5O7F,1
TlRe6Se8Cl3,1
LiVF4,1
SbPO4,1
ZnCu(SiO3)2,1
Re2O7,1
GaGeTe,1
FeCoO4,1
SrLaBr5,1
TcO3F,1
LiFeP2O7,1
Li2V(PO4)2,1
SrLaI5,1
AlBMo,1
CrO2,1
Li2Cr3(CO3)6,1
SrH2O3,1
LiRe(OF2)2,1
CdSbS2Cl,1
MoCl2,1
InCu(MoO4)2,1
V2ZnO5,1
TePdI2,1
VZnO2,1
LiMnPO4,1
AgO2F,1
CeBiS2O,1
PtO2,1
SbClO,1
ZnNi2O5,1
MgFe4O9,1
Ta2CrO8,1
Mn2F5,1
Li2VO2F,1
Mg(HO)2,1
CaO2,1
SnHC2O3,1
Sr4As2O,1
LiVO3,1
HgPSe3,1
Hg2WO4,1
CuBi(PSe3)2,1
K2PAuS4,1
V2Te2O7F2,1
U(BO3)2,1
FeF4,1
LaHBr2,1
Au2Se3O10,1
TaNi2TeSe,1
Li6Br3N,1
Li3SbS3,1
SrH2(SeO3)2,1
Y2Mn2S2O5,1
SrP2(H2O3)2,1
ZnSnO2,1
Bi4Te2Br2O9,1
BN,1
Li2VF6,1
Sb(MoO4)2,1
Sm(AlCl4)2,1
BaSbSe2F,1
CaGeO3,1
Si2Ag6O7,1
TaAsO4,1
Hg3SO6,1
Mg(Mo3O8)2,1
KRe2O4F7,1
TmFeGe2,1
Eu(ReO4)2,1
VSe,1
CuSe2Cl,1
Tl2GeS3,1
Li2Fe(PO4)2,1
TeMoCl7O,1
RbReSO3,1
InH5(NF)2,1
CdSb2Se3Br2,1
Mg(SbO2)4,1
Fe3OF7,1
Ta2MoO8,1
LiVF6,1
MnPS3,1
V2ZnS5,1
Bi7(S3Cl)3,1
K5NO4,1
LiCuO2,1
Pr(ReO4)2,1
Ta2O5,1
FeI2,1
ScBrO,1
W2O5,1
TiS3,1
Hf(Te2Cl3)2,1
YCBr,1
BaP2(HO)4,1
CuBrO2,1
SnGeS3,1
GeClF,1
Te3As2,1
Tl(IO3)3,1
Te2Pt,1
YIO,1
MnBiSe2I,1
CoSb2Br2O3,1
Li2Mn(PO4)2,1
Ba(BSe3)2,1
Ta2PdS6,1
AgGeO3,1
Hf3(Al2C3)2,1
Li8Cr3TeO12,1
AgCSN,1
Ta2WO8,1
TaSe2,1
Li4Ni(PO3)6,1
Cd(HO)2,1
FeOF,1
Zr2Al4C5,1
Bi2Te5Pb2,1
Zn(SnN)2,1
NbI2O,1
LiFeF4,1
K2Ca(NO2)4,1
ZrAl5Ni2,1
AlNiF5,1
HfBrN,1
HgC2(SN)2,1
Ca(ClO2)2,1
CrPS4,1
AgCNO,1
Ni(ClO4)2,1
Te(HO2)2,1
Sm2(PPt2)3,1
Ba2Ti3O8,1
Tl2Pt(CN)4,1
Nb3IrSe8,1
CaBi2O5,1
Sn(WO4)2,1
LiCu(PO3)3,1
NbS3,1
SrH9ClO5,1
Ge3(BiTe3)2,1
CdSbS2Br,1
In2Te5,1
Bi3O2F5,1
Sb(WO4)2,1
Ba4As2O,1
MoPO5,1
KAsO2,1
CaGe2WO6,1
SmIO,1
Cu3Te2(BrO3)2,1
CaBiClO2,1
AlF3,1
Ca3SiBr2,1
Te2Pd3Pb2,1
LiTeHO4,1
Tb5Br8,1
HAuO2,1
Mg(BiO2)2,1
CoS2,1
CuH6BrN2,1
BiO2,1
Li2UO4,1
Mg(SnO2)2,1
TmMg5,1
LuBiO3,1
VPbClO3,1
VO2F,1
CuAgO2,1
CuCN2,1
KBi2F7,1
CaTlCl3,1
Ba(CoO2)4,1
Ce4C2Br5,1
Hg3AsS4Br,1
CrF2,1
CrPO5,1
Al2Os,1
LiVF5,1
Sr2GaNi2O7,1
Ga2NiS4,1
Bi2Pd,1
V3OF11,1
FeS2,1
Ta2Te3,1
TiMn3O8,1
Fe2C2O7,1
La4C2Br5,1
SmSI,1
BiTeBr,1
TiSnO3,1
BaSb2F12,1
PbF4,1
LiMn7O7F,1
Zn2CrN2,1
