formula,target
Sb2Ta6,0
F4RbV,0
B6Co22Sb,0
Pd2Y2,0
B6Ca,0
B3Ba4N6Na,0
Xe,0
Mo4Na8O24Se4,0
O14P4Rb4Sr2,0
Fe2H12O12P6,0
Zr2Br8,0
Al12Re,0
AlCuFe2,0
C16N16Te8,0
Ge4Sr8,0
Al4Cl2H12Li2O12,0
Br16Co4Rb8,0
H2Zr2,0
Be6H18Li6,0
Mo6S8Y,0
Na8Se12Sn4,0
Ca4Si4Sr4,0
Co10La2P6,0
Lu2Ni2Sn8,0
Gd4Ni20Si12,0
CB2Co2Tb,0
BRh3Tm,0
Ge2Pr2Ti2,0
H4Mn4O28P8,0
O6Sr2Zr2,0
Bi8Cu4O16,0
C8N2Ni2O14,0
Br4Al12Te12,0
Ga2S12Y6,0
Cs2F6Si,0
C6CuFeN6Na2,0
Cu2Ge12Yb4,0
Ca10Mn2Pb6,0
Cu2Hf10Pb6,0
Ge2Li4Mg2O8,0
CrIr3,0
Al4Li4N16O2Sr8Ta4,0
Ga4Zr2,0
PPt2Br9,0
Co2Cr6,0
SnTiZrI6,0
N6Rb2Sn,0
IrMnSn,0
Re8Sc12Si12,0
Al4Gd4,0
Ba4Ge4Ni4,0
Ga2Zr4,0
C2K4O,0
Ba8Cr4Nb4O24,0
La2O16Rb2W4,0
Na2O24P6Sn8,0
F6FeH8N2Na,0
Ag2La2O2S2,0
Re2O4H6,0
Ga4Gd4O12,0
As2Fe4O11,0
Al6N2Zr10,0
Cd6Gd2,0
B15,0
P12Pd16Zr12,0
B6Co2Gd5,0
Al2Ca2Cu2O18Si4,0
O12Rh2Sr6Tb2,0
N4W2,0
Li6Na6O24S6,0
K6Tc3,0
Ca2S8Y4,0
Ni4Sc4Si4,0
F8Xe2,0
Al4CoGd2Ge2,0
Cs2O12SrV4,0
Hf4O28P8,0
W2Zr8,0
Ag4S4Tl4,0
Hg19Rb5,0
Gd4Mg2Si4,0
Hg4K16O4Te12,0
P12Ru4Y,0
Bi3Mg2,0
La3Ni2O7,0
Hg4O16P8Pd2,0
Cl15NiZr6,0
O6Pd2Se2,0
Fe12Ga10,0
Te8Ti5,0
La2Mg2Ni4,0
N12O12Pd4S4,0
Mn23Y6,0
O14Y4Zr4,0
Hf2S2Si2,0
NPt,0
Ca4Te4,0
Ca2In4S8,0
Te4W4Cl12,0
CoHfSb,0
P12Tc4,0
Os2Te4,0
Ge36,0
NiO6Sr2Te,0
K4Na4O8Zn4,0
IrMn,0
Bi4Co2Ti8,0
B2Eu6O18W2,0
B6Ba2MgO12,0
Cl6N6S6,0
Gd2K6O16V4,0
Co2K4Se4,0
Cs6F18Mn6,0
