formula,target
B2P2Pb2H6S6,1
Li8Mg4Si4,0
PrSe3,1
Bi2Cu2O4,1
Cl12Cr2Na6,0
Fe2Ni2P2,1
Ag2Lu2O16W4,0
Ge4Pd,1
CrMnBr2I2S2,1
AgNaO2,0
Cu2GeHgSe4,0
GeNaS2,1
B3O15P3Pb3,0
CoC2I2F4B6,1
Cu2Ga2S4,0
Ca16Mg4Pd4,0
C16I16,0
Cl10K2Sn4,0
La6Nb2Sb10,0
AuF6K,0
Mo2Na4O8,0
KBr2,1
P2S6V2,0
Hf4Ni4P4,0
Fe2Br6,1
O16S4Zn4,0
FeCl2N2C4H4,1
Ge24Ru16,0
Rh6I18Te36,0
C6H14K2N16O8,0
SbPb2S6,1
B16S32,0
Ga4Ge4Li12O20,0
Cl2Al6Te6,0
Cu2Gd2,0
CCsPSr,0
Ag2F2Se3P4,1
Mo8O32Sc4Tl4,0
Ag8Pd24Se8,0
Cl4Cu4O4,0
Pb6Te2Zr10,0
H2N2Te2Zr3,1
Co2Mo2O8,0
SeAu2O4,1
O8Rb3Ta,0
PdBr2O8,1
AsGeVS3I6,0
GeSnP2S6,1
As3Hf3Os3,0
Pd8Zr6,0
IMnCu2S6,1
Gd3P6Pd20,0
CuO4Tb2,0
PtHf2Cl3Br8,0
Ni(PS3)2,1
Bi4Pd10,0
AgNaO,0
Mn4O24Sn4,0
Re2Br6,1
PSiNi2S4,1
DyRh,0
VF3,1
BrClMnOTa,1
Ag2As2Se4,1
C60,0
MnO2,1
Ba3Co3O6,0
CuTi,0
Ru2Sb2S6,1
Cl3CsSr,0
HfK2F6O6,1
AgScAs2O6,1
Au2Ca2,1
Al6B3H4Mg3NaO31Si6,0
H2PbO2,1
Cl2C3Hf4,1
Te3N2,1
K4O24Sr2V8,0
Cl2N3W4,1
Na3,0
LiMgSb,0
I4K8O28S4,0
O2Pd2,1
IrN2,0
AgI2Se2Sr2,1
C4Al2Ta6,0
As4Cl,1
HSiW4O10,1
Al9Lu3Ni6,0
Na4Se4O8,1
Cu4Ge4Hf4,0
IrF2,1
LiMnI2O2,1
Cd4Sb4Tl4,0
Cs8OTl8,0
Au2K6Se26,0
Ca2O8Pt3,0
InLa,0
NF2Ti2,1
Br2Mo3S4,1
AlSe,1
ClIOSeN2Nb3,1
NbTe,1
Bi4Cl24Cs12,0
GeMnSeBr3,1
Cl18K2Zr7,0
Cd4Ir4La16,0
BNi3Sc,0
Ga6Lu10,0
CGaNi3,0
Cd2Te2,1
Y8Zn12,0
Cs2Te2Cd4Br6S6,1
BSe2Ti2,1
Na2F,1
BrINNbOZn,1
LiCu(PO3)2,1
CLa3Tl,0
Fe4Mg2O8,0
F2Pd2O4,1
Cu4Eu4,0
Al8Zr10,0
H24N8O16S4,0
Sr2FeClO3,1
Bi2S2O,1
Cl4O12Sb4Te4,0
Hg6La2,0
C2K2Se2H6O6,1
La4Sn4Zn4,0
C4Cl12N12S8,0
RhF2,1
AgK3,0
Ge4Pd4Ti4,0
AuGaP2O6,1
O28P8Pd6Tl4,0
Bi4O12W2,0
B8Eu4Ir8,0
O6Sr2VZr,0
MoAu2S4,1
MoLi2,1
Ca3Hg33,0
B6Ba6F10O18Sr8,0
Br2Eu2F2,0
Mo4S8Br12,0
Ag2C2Cl2O2,1
Cl2Se2V2O7,1
GaS,1
Ca2Fe2Ge4O12,0
C4N8Se4,0
Ca8In4,0
C2N4,0
IrS2,1
C2Al2Ta4,0
S2Nb5Br13,0
Ni4O12Y4,0
C8N8Se8,0
Ir8Si4,0
P2Se3,1
Pd30Sb12,0
Lu4Ni4Si4,0
Ta2Pd4Se6,1
O20Rb4Te4V4,0
Pt2Sb2S6,1
C8Cu4N16S8,0
CH2S2Ti2,1
Ga2Nb10Sb4,0
Co2F2O4,1
C4B4Lu2,0
BaUI6,1
TiSnO3,1
Br24Cs8Sb4,0
ZrBr,1
BrClS2Sn2,1
La2Mo16O28,0
N4O24Pb8,0
Au2Dy2Sn2,0
O24P4Sc4,0
C6Ag6N6O6,0
Cs3Cu8Se6,0
Ca2Cr2F10,0
Cu2Rb2S8Sb4,0
BaO14P4V2,0
Ca2Br4S4F8,1
INbSeZrBr2S2,1
AsFS,1
Al2B4Rh10Sc4,0
I2Ti,0
CCs2I18Zr7,0
Zn(HO)2,1
RhSeI3,0
As2Nb2S6,1
C2H2Mn3,1
B8Fe2O14,0
CuSeWCl2Br3,1
I4Sb4Se4,0
Bi6Cu2La10,0
W3S4,1
Ni4O24Pb4Se8,0
As8Cs4H8O32Sc4,0
Ga2Gd2Zn2,0
Zn3N,1
C4Co2F10N6V2,0
Al4Mo4O28V4,0
Ca7N2Tl3,0
Cs12S16Ta4,0
AsPb2O6,1
Ba6Cl2EuF12,0
P12Ru19Tb5,0
Ba2O6TaTl,0
Mo2Ni2P4,0
Ba3O15Ti6,0
UBrO2,1
Ag2Cl2Hg2S2,1
Ge4LaRh6,0
AsLiZn,0
Ga2Mn2O5,1
RbV4O10,1
Cl2Co2O4Sr3,0
Br2Cs2F2,0
IrTaTe2,1
PSe,1
C6Cs6I2O18Pb4,0
