formula,sg,xc,flg
B8Co8Y2,137,{'pbe': {}},
Ag2Te4Y2,113,{'pbe': {}},
Ce2Ru4,227,{'pbe': {}},
As4Na6O28Te2,182,"{'pbe': {'am': 19.01, 'tm': 18.0}}",
CePb3,221,"{'pbe': {'am': 1.02, 'tm': 0.99}}",
B16Y4,127,{'pbe': {}},
As4H4O20Pb4Zn4,19,{'pbe': {}},
Al4O22Te8,14,{'pbe': {}},
S12Sc8,33,{'pbe': {}},
Ga4I16Li4,14,{'pbe': {}},
Ga6Lu10,193,{'pbe': {}},
CoFeMnSi,216,"{'pbe': {'am': 4.38, 'tm': 3.99}}",
DyPt2Si2,139,"{'pbe': {'am': 4.78, 'tm': 4.7}}",
Mg8O16Si4,74,{'pbe': {}},"['th', 'hp']"
B6Ca8Na2O18,40,{'pbe': {}},
Ir4La2Si4,129,{'pbe': {}},
O24Pb2Ru2,227,"{'pbe': {'am': 7.68, 'tm': 6.63}}",
Li2Mo4O16Tl6,186,{'pbe': {}},
O40P8W8,62,"{'pbe': {'am': 3.9699999999999998, 'tm': 3.2800000000000002}}",
Cr2Se2,129,"{'pbe': {'am': 0.9400000000000001, 'tm': 0.76}}",['th']
Cr8F36K4Pb4,62,"{'pbe': {'am': 25.1, 'tm': 24.0}}",
F2Tl2,129,{'pbe': {}},
B12Ba4Ni18,167,{'pbe': {}},
In8Ir2Sr2,51,{'pbe': {}},
Au2K2P4S14,15,{'pbe': {}},
Cd3Cl8Na2,166,{'pbe': {}},
Co4InLu,216,"{'pbe': {'am': 6.43, 'tm': 5.19}}",
Ba4Cu6Li2O12,69,"{'pbe': {'am': 4.48, 'tm': 3.9699999999999998}}",
Cu3TaTe4,215,{'pbe': {}},
Ca14Li10Sn22,63,{'pbe': {}},
C4Si2Ti6,194,{'pbe': {}},
ErPt5,191,"{'pbe': {'am': 2.7, 'tm': 2.67}}",
Au8Ge8K8S24,14,{'pbe': {}},
Al4Li4O20Si4,33,"{'pbe': {'am': 8.26, 'tm': 8.0}}",
Ge2Zn4Zr2,139,{'pbe': {}},
Co16Sn8Y6,186,"{'pbe': {'am': 23.2, 'tm': 17.03}}",
Mg3NSb,221,{'pbe': {}},
Co8Ti26,227,{'pbe': {}},
KMg4Mn6O15,229,"{'pbe': {'am': 21.59, 'tm': 21.0}}",
P8Pd8S8,60,{'pbe': {}},
Cs8Se28Zr6,15,{'pbe': {}},
C2H12Cd2I6N6,9,{'pbe': {}},
Gd6Ir8Sn26,223,"{'pbe': {'am': 42.76, 'tm': 41.71}}",
CCsSiSr,216,{'pbe': {}},['th']
H4Sr2,194,{'pbe': {}},['hp']
B6Co21Sc2,225,"{'pbe': {'am': 27.07, 'tm': 22.28}}",
Ga4O6,167,{'pbe': {}},
S2Ti2,194,{'pbe': {}},
Cr16Hf8,194,{'pbe': {}},
CB9,139,"{'pbe': {'am': 1.98, 'tm': 1.76}}",
SmZn5,191,"{'pbe': {'am': 5.84, 'tm': 5.77}}",
NO,225,"{'pbe': {'am': 0.07, 'tm': -0.06}}",
Ba6Ir4Ni2O18,194,"{'pbe': {'am': 12.94, 'tm': 12.34}}",
Gd4Tc8,194,"{'pbe': {'am': 30.01, 'tm': 27.16}}",
B2Se6Tl6,11,{'pbe': {}},
Li16O28P8,14,{'pbe': {}},['ht']
PbPo,225,{'pbe': {}},
Ag2Zr,139,{'pbe': {}},
F6H4P2,36,{'pbe': {}},
Ce2Ni2Si4,63,"{'pbe': {'am': 0.66, 'tm': -0.56}}",
Ag4Hg2S8Sn2,31,{'pbe': {}},
CoCrSiY,216,"{'pbe': {'am': 4.57, 'tm': 4.0}}",['th']
O12Sc2Sr4Ta2,14,{'pbe': {}},
Al12Ni4,62,{'pbe': {}},
Mg2Zn4,63,{'pbe': {}},
Si6Ti3,180,{'pbe': {}},['th']
Lu4Na4O16Si4,62,{'pbe': {}},
In6O12Te,148,{'pbe': {}},
O3RhSr,221,"{'pbe': {'am': 1.6, 'tm': 1.58}}",['th']
Lu6O14Sb2,20,{'pbe': {}},
C,225,"{'pbe': {'am': 2.0, 'tm': 2.0}}",
AgBe12,139,{'pbe': {}},
Bi4Cs12Se12,198,{'pbe': {}},
CsXe,221,{'pbe': {}},"['th', 'hp']"
Hf4Si4W4,62,{'pbe': {}},
MnPd,221,"{'pbe': {'am': 4.58, 'tm': 4.51}}",
BCl18O24Zr6,229,"{'pbe': {'am': 47.92, 'tm': 47.57}}",
Cl12Cs4Pd4,72,{'pbe': {}},
Cu6N10Sr12,105,{'pbe': {}},
Ir3Sn12,152,{'pbe': {}},
H4O28Pd2S8,14,"{'pbe': {'am': 4.15, 'tm': 4.0}}",
BaCu3O4,65,{'pbe': {}},
Ir6Lu10,193,{'pbe': {}},
Hf8Mo2,227,{'pbe': {}},
La3Pb3Pd3,189,{'pbe': {}},
Ir2Sr8,227,{'pbe': {}},
Cu4Mg8,70,{'pbe': {}},
Nb,229,{'pbe': {}},
Co2O6P2Sc2Sr4,129,"{'pbe': {'am': 1.34, 'tm': 1.22}}",['th']
Al6Pd2Y20,194,{'pbe': {}},
STl2,164,{'pbe': {}},
F8Na4Pd2,14,{'pbe': {}},
B6Na6S12,167,{'pbe': {}},
S10Zn10,186,{'pbe': {}},
C4H16N20O4,14,{'pbe': {}},
Ag4Ca10Cd2,140,{'pbe': {}},
Bi12Ga6La6,191,{'pbe': {}},
BLuRh3,221,{'pbe': {}},
I12K4Pt2,128,{'pbe': {}},
Ca2GeO4,139,{'pbe': {}},
Au2H6Ti6,223,{'pbe': {}},
As4Ni8Sc2,136,{'pbe': {}},
AsNd,225,"{'pbe': {'am': 3.26, 'tm': 3.02}}",
Bi5Cu4S10,12,{'pbe': {}},
Bi4Ir4Se4,198,{'pbe': {}},
Mo,229,{'pbe': {}},
CRe2Si2Tb2,12,"{'pbe': {'am': 12.05, 'tm': 11.69}}",
Ca2Cu2F8,140,"{'pbe': {'am': 2.18, 'tm': 1.96}}",
Cl2Hg4P6,15,{'pbe': {}},
H2Li2Pd,139,{'pbe': {}},
CK4O4,82,{'pbe': {}},['th']
Pr2Re4,227,{'pbe': {}},
S10Sn4Tl4,15,{'pbe': {}},
F2H12N2Na2O8P2,7,{'pbe': {}},
Ba2N4Zr2,129,{'pbe': {}},
O8Re4,14,{'pbe': {}},
Pb3Rh3,191,{'pbe': {}},
Pd2Rb4Se32,117,{'pbe': {}},
La6Ni24P14,36,{'pbe': {}},
Fe2Ge6H8O20Pb2,11,"{'pbe': {'am': 8.16, 'tm': 8.0}}",
Br12Cu4Rb8,62,{'pbe': {}},
Mn2O18Pb4V4,11,"{'pbe': {'am': 6.43, 'tm': 6.0}}",
O3Pr2,164,"{'pbe': {'am': 4.34, 'tm': 4.0}}",
Ge2Mn2Y,139,"{'pbe': {'am': 4.94, 'tm': 4.11}}",
O8P2Y2,141,{'pbe': {}},['th']
Al4Ca,139,{'pbe': {}},['ht']
Cd3S4Zn,215,{'pbe': {}},['th']
Na2O4Pr2,141,"{'pbe': {'am': 4.36, 'tm': 4.0}}",
BiNiSc,216,{'pbe': {}},
C6Cr21Fe2,225,"{'pbe': {'am': 6.09, 'tm': 2.5300000000000002}}",
Cl10Mo2N4S4,2,{'pbe': {}},
Hg8N24S8,61,"{'pbe': {'am': 23.81, 'tm': 23.54}}",
Cs2F6Pt,164,{'pbe': {}},
PSc,221,{'pbe': {}},['th']
Ba2CaO6Te,225,{'pbe': {}},
Na4O22Si3Ti4,160,{'pbe': {}},
Au2Ba2Sb2,194,{'pbe': {}},
Cl20H8K8O4Rh4,62,{'pbe': {}},
CH6N4O3,8,{'pbe': {}},
C4Cd2N4,215,{'pbe': {}},
Cl6Fe2Rb2,194,"{'pbe': {'am': 8.06, 'tm': 8.0}}",
F4N12O8S16,14,{'pbe': {}},
Fe6Ge6Nb6,46,"{'pbe': {'am': 10.0, 'tm': 7.97}}",
AuBe5,216,{'pbe': {}},
As2Ir2K,139,{'pbe': {}},
Mo2O10,10,"{'pbe': {'am': 8.31, 'tm': 8.0}}",
Gd8O24W4,19,"{'pbe': {'am': 56.04, 'tm': 56.0}}",
