formula,sg,xc,flg
Cd2Mn4O8,141,"{'pbe': {'am': 16.24, 'tm': 16.0}}",
Hf8Zn16,194,"{'pbe': {'am': 6.22, 'tm': 6.09}}",
C4H10Na6O16,15,{'pbe': {}},
Bi4O32Te4W6,15,{'pbe': {}},
Mo10Si6,140,{'pbe': {}},
Cu2F6N2,127,"{'pbe': {'am': 5.44, 'tm': 5.17}}",
Ru4Sb4Se4,14,{'pbe': {}},
Sb4Sn2Zn2,122,{'pbe': {}},['ht']
Ba3Cl2In2O5,139,{'pbe': {}},
Ag3Ga8Y3,71,{'pbe': {}},
Ca4P4S12,7,{'pbe': {}},
AlF6K2Li,166,{'pbe': {}},
I12Pt4,15,{'pbe': {}},
Be26Yb2,226,{'pbe': {}},
Cu18La2Mg4,194,{'pbe': {}},
Mg4N16Rb8,14,"{'pbe': {'am': 32.26, 'tm': 32.0}}",
O16Pb4W4,14,{'pbe': {}},
Cl20K8Mo4O4,62,"{'pbe': {'am': 5.0, 'tm': 4.0}}",
Al8Ca8H40,14,{'pbe': {}},['th']
Cs2Gd2Mn2Se6,63,"{'pbe': {'am': 24.1, 'tm': 24.0}}",
F12Ge2N4,186,"{'pbe': {'am': 10.82, 'tm': 7.98}}",
CoSbZr,216,{'pbe': {}},
C2Cl28Ti12,64,{'pbe': {}},
Cu4Ge2O8,141,"{'pbe': {'am': 2.75, 'tm': 2.5300000000000002}}",
Ce4O18Ta4,14,{'pbe': {}},
Ir8S12,60,{'pbe': {}},
Bi4Pd10,12,{'pbe': {}},
Cu2O14Si4Sr4,113,"{'pbe': {'am': 2.13, 'tm': 2.02}}",
Ag4Fe4O24Se8,33,"{'pbe': {'am': 20.1, 'tm': 20.0}}",
Na4Pt8Se12,186,{'pbe': {}},
InIrLi2,216,{'pbe': {}},
Al2Ni16Y6,194,{'pbe': {}},['th']
Hf2Pd,139,{'pbe': {}},
Hf14Ni20,64,{'pbe': {}},
Na16O16Pb8,60,{'pbe': {}},
Fe2Rb2Se4,15,"{'pbe': {'am': 6.19, 'tm': 5.96}}",
AlMo2O8Rb,164,{'pbe': {}},
In5IrPr,123,"{'pbe': {'am': 2.44, 'tm': 2.37}}",
Ca2Cu2In4,63,{'pbe': {}},
O12Rh4Y4,62,{'pbe': {}},
Be4O20P6Rb2,15,{'pbe': {}},
As2Ce2O2Ru2,129,"{'pbe': {'am': 1.63, 'tm': 1.44}}",
Co6Ga4Mn2V4,224,"{'pbe': {'am': 6.67, 'tm': 3.9699999999999998}}",['th']
Pd4Si12Y8,194,{'pbe': {}},
Al3Ca,221,{'pbe': {}},['th']
Au2Ni4Si7,12,{'pbe': {}},
La4O8V8,141,{'pbe': {}},
Cu8O24Se8,61,"{'pbe': {'am': 4.2, 'tm': 3.93}}",
Cl2CsI,166,{'pbe': {}},
Al2BaO10P2,2,"{'pbe': {'am': 2.19, 'tm': 2.09}}",
Cl8N8,205,"{'pbe': {'am': 8.26, 'tm': 8.0}}",
B4Na10O26P6,4,{'pbe': {}},
Fe4K2Se6,63,"{'pbe': {'am': 10.44, 'tm': 9.95}}",
InZr3,221,{'pbe': {}},
Na8O12Pb4,15,{'pbe': {}},
BaO3Ta,221,{'pbe': {}},['th']
Na4O22Ta8,167,{'pbe': {}},
Cu4Lu2Sn4,129,{'pbe': {}},
LaMgNi4,216,{'pbe': {}},
Ag2PrSi2,139,"{'pbe': {'am': 2.3, 'tm': 2.22}}",
Cl2N6Ni,225,"{'pbe': {'am': 8.72, 'tm': 8.0}}",
Co2GaNi,123,"{'pbe': {'am': 3.45, 'tm': 3.08}}",
B8Eu4O16,60,"{'pbe': {'am': 28.28, 'tm': 27.99}}",
Ag2As6Cu8O24,15,"{'pbe': {'am': 5.9, 'tm': 3.79}}",
Br4Hg4O16,57,"{'pbe': {'am': 4.61, 'tm': 4.29}}",
Cu4K8S8V4,70,{'pbe': {}},
CrF6N3,225,"{'pbe': {'am': 9.04, 'tm': 9.0}}",
SeTl,221,{'pbe': {}},['hp']
Ni3Pt,221,"{'pbe': {'am': 2.95, 'tm': 2.63}}",
F6Ru,229,"{'pbe': {'am': 2.07, 'tm': 2.0}}",
HfRu3,221,{'pbe': {}},['th']
Cu8KSe2,47,{'pbe': {}},
Ni4Sc2,227,{'pbe': {}},
Ag6Ga3,189,{'pbe': {}},
Lu7Pd2Te2,44,{'pbe': {}},
Pd3Y,221,{'pbe': {}},
Ag3As2K3,166,{'pbe': {}},
B3Ir,187,{'pbe': {}},['th']
BRh3Sc,221,{'pbe': {}},
Cd9I18,156,{'pbe': {}},
Ho2K4O14Sb2,44,"{'pbe': {'am': 16.35, 'tm': 16.0}}",
Li6N2,194,{'pbe': {}},
Ba2CoO6Re,225,"{'pbe': {'am': 3.16, 'tm': 2.01}}",
Ca19In8N7,225,{'pbe': {}},
Ba2Mo4O32P8,14,"{'pbe': {'am': 4.77, 'tm': 4.0}}",
Ca8S20Sb8,14,{'pbe': {}},
C8Cl16O8,88,{'pbe': {}},
In4O12Rh4,62,{'pbe': {}},
As2Cu8Rb2S8,4,{'pbe': {}},
Na2Se,225,{'pbe': {}},
Co2Eu4O12Pt2,14,"{'pbe': {'am': 31.79, 'tm': 31.55}}",
Er2FeGa8,123,"{'pbe': {'am': 5.58, 'tm': 5.26}}",
B2MgO6Sr2,12,{'pbe': {}},
Fe6Ge4Mg,166,"{'pbe': {'am': 13.11, 'tm': 11.62}}",['th']
H6Na2O16S4Zn4,2,{'pbe': {}},
Al20Gd2Ru4,63,"{'pbe': {'am': 14.6, 'tm': 14.05}}",
Nb3Ti,221,{'pbe': {}},['th']
C12Al4Cl20N4S4Se4,14,{'pbe': {}},
S14Zn14,186,{'pbe': {}},
Co6PbY12,204,{'pbe': {}},
F6GaNaTl2,225,{'pbe': {}},
O24P6Rb3V3,2,"{'pbe': {'am': 0.51, 'tm': -0.37}}",
Fe6P24,14,{'pbe': {}},
CrTe,225,"{'pbe': {'am': 4.27, 'tm': 4.0}}",['th']
Ca2H24MgN6O30,148,{'pbe': {}},
Ni4P4Y4,194,{'pbe': {}},
Cs2I22Nb12,182,"{'pbe': {'am': 3.8, 'tm': 3.49}}",
InPb8Rb5,166,{'pbe': {}},
Ca8Cd4Sb8,62,{'pbe': {}},
Pt4Sb4Se4,198,{'pbe': {}},
AgCl,225,{'pbe': {}},
PtSbTb,216,"{'pbe': {'am': 6.03, 'tm': 5.95}}",
Ba4Hg4Se8,26,{'pbe': {}},
As2In2Ni6,59,{'pbe': {}},['th']
B8S16,14,{'pbe': {}},
Cl32Li4Nb12,64,{'pbe': {}},
Ag2Ba2F2Te2,129,{'pbe': {}},
Cd24N16,206,{'pbe': {}},
B8Bi4O20Sr2,2,{'pbe': {}},
Cu14Hg12,160,{'pbe': {}},
Pb18Pd26,15,{'pbe': {}},
C8Cs2N6,167,{'pbe': {}},
Cr4O12Tb4,62,"{'pbe': {'am': 36.55, 'tm': 36.22}}",
Ge4K4Pb2S12,15,{'pbe': {}},
Li2Mn2Sb2,129,"{'pbe': {'am': 8.79, 'tm': 8.54}}",
B8Ca4O16,60,{'pbe': {}},
InP,216,{'pbe': {}},
F6Na3Ti,225,{'pbe': {}},['ht']
H8N2O16V6,11,{'pbe': {}},
Cr4O14Rb4,2,{'pbe': {}},
Cl8I4N12S16,14,{'pbe': {}},
Cl8Fe2Na4,55,"{'pbe': {'am': 8.06, 'tm': 8.0}}",
Co4Sc4Si4,62,{'pbe': {}},
Fe4I2La4,194,"{'pbe': {'am': 6.31, 'tm': 3.93}}",
CaCu2P2,139,{'pbe': {}},
Mg2Mn2O6,148,"{'pbe': {'am': 6.3, 'tm': 6.0}}",
Al18Rh6Y4,63,{'pbe': {}},
Ca3Ni6Zn9,191,{'pbe': {}},
C8F24N8O4S4,82,{'pbe': {}},
As2K2S6Sn,147,{'pbe': {}},
Cd2Cr4Se8,227,"{'pbe': {'am': 14.18, 'tm': 11.99}}",
As7K2Ni12,174,{'pbe': {}},
Al8Zr4,194,{'pbe': {}},
Na12O12Sb4,217,{'pbe': {}},
C4H16Li4N4O8S4,62,{'pbe': {}},
In6O18Te3,150,{'pbe': {}},
B12Cs2H12,202,{'pbe': {}},
CuK5Sb2,166,{'pbe': {}},
Cl2H4MnO2,12,"{'pbe': {'am': 5.01, 'tm': 5.0}}",
C4Eu8I12Li4N8,227,"{'pbe': {'am': 56.9, 'tm': 56.0}}",
INaO6Sr2,225,{'pbe': {}},
Hg4O12Se4,14,{'pbe': {}},
Fe2K2N2O14P2,2,"{'pbe': {'am': 10.05, 'tm': 10.0}}",
Ag2I8Mn2O24,2,"{'pbe': {'am': 8.42, 'tm': 8.0}}",
EuTe,225,"{'pbe': {'am': 7.14, 'tm': 6.99}}",
In4Mn2S8,227,"{'pbe': {'am': 10.06, 'tm': 10.0}}",
Cr4O40Si16Sr4,130,"{'pbe': {'am': 16.56, 'tm': 16.0}}",
Pd2SnTm,225,"{'pbe': {'am': 1.54, 'tm': -1.54}}",
H8Mg4,62,{'pbe': {}},['hp']
Cl8Hg28O12,57,{'pbe': {}},
HgNa4P2,166,{'pbe': {}},
BGaN2,115,{'pbe': {}},['th']
CdLi2Sn,225,{'pbe': {}},
Mo6S8Y,148,{'pbe': {}},
Ba4O24P8,19,{'pbe': {}},
As2Cu2Eu2,194,"{'pbe': {'am': 14.36, 'tm': 14.01}}",
H2La2Se2,194,{'pbe': {}},
Sb2Ti2,194,{'pbe': {}},
F2Mn2OSe2Sr2,139,"{'pbe': {'am': 9.77, 'tm': 9.77}}",
FeO6OsSr2,225,"{'pbe': {'am': 6.09, 'tm': 2.0}}",
Cs4O20Se4V4,4,{'pbe': {}},
Cs16O16Pb4,14,{'pbe': {}},
F3HgK,65,{'pbe': {}},
Fe4Na4O16P4,62,"{'pbe': {'am': 16.06, 'tm': 16.0}}",
RuYb,221,"{'pbe': {'am': 0.46, 'tm': 0.44}}",
Cs2Eu2O16W4,15,"{'pbe': {'am': 12.94, 'tm': 12.0}}",
F6Rb2Tc,164,"{'pbe': {'am': 3.12, 'tm': 3.0}}",
Pb3Sm,221,"{'pbe': {'am': 6.0, 'tm': 5.98}}",
BaCuFeO5Sm,99,"{'pbe': {'am': 9.8, 'tm': 9.58}}",
Al6Lu20Rh2,194,{'pbe': {}},
Bi2O16P2Pb8,2,{'pbe': {}},
Ge4O12Zn4,62,{'pbe': {}},['hp']
Cu4Li4O36P12,19,"{'pbe': {'am': 4.44, 'tm': 4.11}}",
Ge16Hf12Lu8,92,{'pbe': {}},
I4P2,2,{'pbe': {}},
Ca6Na4O20Si6,15,{'pbe': {}},
In6Te9,107,{'pbe': {}},
Bi2Fe2O6,11,"{'pbe': {'am': 6.4, 'tm': 6.28}}",['ht']
Pt4Sn2Tb2,194,"{'pbe': {'am': 12.04, 'tm': 11.97}}",
Ni4Se8,205,{'pbe': {}},
B8Co8Lu2,137,{'pbe': {}},
Dy2Rh4,227,"{'pbe': {'am': 9.81, 'tm': 9.8}}",
Ba2Cl4O16,70,{'pbe': {}},
C4Li3,71,{'pbe': {}},"['th', 'hp']"
C20Br4O20Re4,62,{'pbe': {}},
FNa5O16Si4Sm4,82,"{'pbe': {'am': 21.13, 'tm': 20.0}}",
K3Pd,221,{'pbe': {}},['ht']
Mg4Pt4Sr4,62,{'pbe': {}},
Pt4Y4,62,{'pbe': {}},
Mg8O16Si4,10,{'pbe': {}},
SrTe,225,{'pbe': {}},
Sb,225,{'pbe': {}},
Ni2O6Pb2,161,{'pbe': {}},
Mn2O16Ta4Zn4,15,"{'pbe': {'am': 10.02, 'tm': 10.0}}",
C16,62,{'pbe': {}},['th']
Ba11Cd6Sb12,12,{'pbe': {}},
In4S4,62,{'pbe': {}},
C26CdLiO8,115,"{'pbe': {'am': 2.9, 'tm': 2.77}}",
F24H8Na4O4P4,52,{'pbe': {}},
I12La6LiRu,148,{'pbe': {}},
Cu4Mg2Se8Si2,31,{'pbe': {}},
Ge4Li4O16Y4,62,{'pbe': {}},
Ba3O9Si3,166,{'pbe': {}},['hp']
Ca8Hg4,62,{'pbe': {}},
Cl12Cu4H20N8,62,"{'pbe': {'am': 4.49, 'tm': 4.1}}",
Au2Bi2Sr2,194,{'pbe': {}},
Fe2Li2O8Si2,7,"{'pbe': {'am': 10.02, 'tm': 10.0}}",['th']
C4H8N24O8,33,{'pbe': {}},
Cs8O16Ru4,62,"{'pbe': {'am': 8.39, 'tm': 8.0}}",
Ba2HoO6Sb,225,"{'pbe': {'am': 4.01, 'tm': 4.0}}",
Br12F24S4Sb4,19,{'pbe': {}},
C22F14,12,{'pbe': {}},
In16O24,206,{'pbe': {}},
B4O12Rb2Sb2,9,{'pbe': {}},
Cd10I20,156,{'pbe': {}},
Fe4Na4O16P4,62,"{'pbe': {'am': 16.11, 'tm': 16.0}}",
O12Sb8,56,{'pbe': {}},
AlFe2Ti,225,"{'pbe': {'am': 1.58, 'tm': 0.9500000000000001}}",
Hf3Re3Si3,189,{'pbe': {}},
In2S4Tl2,140,{'pbe': {}},
MnNi2Sb,216,"{'pbe': {'am': 3.7199999999999998, 'tm': 3.34}}",
PoTb,225,"{'pbe': {'am': 5.68, 'tm': 5.58}}",
Ta8V2,227,{'pbe': {}},
C12Co2K6N12,14,{'pbe': {}},
I2Na2O8,5,"{'pbe': {'am': 4.21, 'tm': 4.1}}",
Ba4Ga8P8,14,{'pbe': {}},
Fe4Ge2O8,227,"{'pbe': {'am': 16.09, 'tm': 16.01}}",
Bi4O14Ru4,227,{'pbe': {}},
Cl4Cu4H12N4,199,{'pbe': {}},
Li2Rb2Se2,129,{'pbe': {}},
F8Hg4,62,{'pbe': {}},"['th', 'hp']"
Ge2,227,{'pbe': {}},
Ga2Mn2Pt2,194,"{'pbe': {'am': 8.24, 'tm': 7.58}}",
Mn4Ni4Si4,62,"{'pbe': {'am': 13.19, 'tm': 11.29}}",
Fe2K2Nb4O13,12,"{'pbe': {'am': 8.38, 'tm': 8.01}}",
Ba2O12Pb2Si4,63,{'pbe': {}},
Cl6Rb2Sn,225,{'pbe': {}},
B4LaO12Sc3,155,{'pbe': {}},
C10H28Br6F2N4O2Pb2,2,{'pbe': {}},
Au2Cl2Te4,63,{'pbe': {}},
W8,223,{'pbe': {}},
F20Hf4Tl4,14,{'pbe': {}},
As18Cs18,189,{'pbe': {}},
C4Ba2Mg2O12,167,{'pbe': {}},
Co2Hf16Te12,59,{'pbe': {}},
N12O2P8,58,{'pbe': {}},
P2,166,{'pbe': {}},
C2Tm,139,"{'pbe': {'am': 1.51, 'tm': 1.37}}",
Al8O32P8,2,{'pbe': {}},['th']
As2Cu2Si2Ti2,129,{'pbe': {}},['th']
CrF6K2Li,225,"{'pbe': {'am': 3.17, 'tm': 3.0}}",
In9Pt13,12,{'pbe': {}},
Cl8Hg6S4Zn2,186,{'pbe': {}},
Al3F18K6Li3,156,{'pbe': {}},
DyP2Pd2,139,"{'pbe': {'am': 4.72, 'tm': 4.64}}",
Fe2Rh4S8,227,"{'pbe': {'am': 7.04, 'tm': 6.96}}",
I2O8Tl2,88,{'pbe': {}},
O16Sb4Sm4,14,"{'pbe': {'am': 21.24, 'tm': 20.0}}",
C12Cs4K2N12Rh2,14,{'pbe': {}},
B16Mo4,194,{'pbe': {}},
N4Re2,6,{'pbe': {}},['th']
K4Ni2O24P8,9,"{'pbe': {'am': 4.18, 'tm': 4.0}}",
C16F24O20,14,{'pbe': {}},
Ge4Mn2O12Sr2,15,"{'pbe': {'am': 10.02, 'tm': 10.0}}",
Al11Re4,2,{'pbe': {}},
Ge4Li8Zn4,164,{'pbe': {}},
Mo8Na2O12,127,{'pbe': {}},
Co4Na4O16P4,62,"{'pbe': {'am': 12.18, 'tm': 12.0}}",
K2Mo8O12,81,{'pbe': {}},
Mo4O8,14,{'pbe': {}},
F16O16Se8,14,{'pbe': {}},
Cr4Mo8S16,9,"{'pbe': {'am': 16.85, 'tm': 15.97}}",
CoSnTi,216,{'pbe': {}},
La4O12Sc4,62,{'pbe': {}},
B4Fe8O20V4,55,"{'pbe': {'am': 39.25, 'tm': 39.14}}",
O8Si4,15,{'pbe': {}},['th']
Fe2Nb2O8,13,"{'pbe': {'am': 10.02, 'tm': 10.0}}",
Sb4Ta5,87,{'pbe': {}},
C8Cl16O8,14,{'pbe': {}},
Hf6Ru6Si6,46,{'pbe': {}},
H24N8O16S4,19,{'pbe': {}},
Li4S4,111,"{'pbe': {'am': 4.13, 'tm': 4.11}}",
Cl8Ga8O20Sr12,4,{'pbe': {}},
As4Fe4Ta4,62,{'pbe': {}},
MgPm,221,"{'pbe': {'am': 5.1, 'tm': 5.1}}",['th']
OsSc6Te2,189,{'pbe': {}},
Al16Pd7Zr6,225,{'pbe': {}},
Cu8O32Re8,110,{'pbe': {}},['hp']
Ag2Ge2La2,186,{'pbe': {}},
Ag2GeMnTe4,121,"{'pbe': {'am': 4.8100000000000005, 'tm': 4.7}}",
Ag2BaGeS4,121,{'pbe': {}},
Bi6In10,140,{'pbe': {}},
As2O2Sr2Zn3,139,{'pbe': {}},
CoF12O4S2Sb2,2,"{'pbe': {'am': 3.16, 'tm': 3.0}}",
Al4Br16Li4,14,{'pbe': {}},
F6IrK,148,"{'pbe': {'am': 2.18, 'tm': 2.0}}",
Cs4H4O8S4,12,{'pbe': {}},
Ce4Pd4Sn2,127,"{'pbe': {'am': 2.22, 'tm': 2.01}}",
Ca6O19Si6,2,"{'pbe': {'am': 2.21, 'tm': 2.07}}",
Br12Cs4Sr4,62,{'pbe': {}},
C4H12O18Rb8,15,{'pbe': {}},
Cd2Na4Sn2,194,{'pbe': {}},
Ga2Nb2O8,12,{'pbe': {}},['ht']
Co8H4O20P4,58,"{'pbe': {'am': 24.24, 'tm': 24.0}}",
As,166,{'pbe': {}},
H16In4O24P4,14,{'pbe': {}},
Cs2Mo4O26P6,13,"{'pbe': {'am': 4.68, 'tm': 4.0}}",
Ge6V10,140,{'pbe': {}},
Pd2Sb2Sr,139,{'pbe': {}},
Fe3Gd2Zn14,166,"{'pbe': {'am': 21.63, 'tm': -7.67}}",
Ag6Rb2Te4,12,{'pbe': {}},
C3Ca3F3O9Rb3,189,{'pbe': {}},
Ba4H20Mg6,12,{'pbe': {}},
Ru4S8,205,{'pbe': {}},
I2K2O8,88,{'pbe': {}},
Cu2P4Sm2,129,"{'pbe': {'am': 11.47, 'tm': 10.45}}",
N6Rb2Sn,147,"{'pbe': {'am': 12.26, 'tm': 12.0}}",
Cl8F12P2Sb2,85,{'pbe': {}},
Ge6Ni4Y6,63,{'pbe': {}},
Li4Se6Sn2,9,{'pbe': {}},
C4H12Cl10Se2Ta2,36,{'pbe': {}},
Ge8N16Sr16,135,{'pbe': {}},
Ru4Sm2,227,"{'pbe': {'am': 14.07, 'tm': 8.64}}",
C3Cr2Y2,12,{'pbe': {}},
Na4O20P4V4,62,"{'pbe': {'am': 4.84, 'tm': 4.0}}",
B3La2Na3O9,38,{'pbe': {}},
Ca6Fe2O12Rh2,167,"{'pbe': {'am': 10.09, 'tm': 9.97}}",
As4Cu4O16Tl8,14,{'pbe': {}},
Au4Ca4In4,62,{'pbe': {}},
In5IrLa,123,{'pbe': {}},
Cl10K4O2Re2,139,"{'pbe': {'am': 4.3, 'tm': 0.98}}",
Bi4Mn4O12,62,"{'pbe': {'am': 16.43, 'tm': 16.0}}",['hp']
Ca3Tl,225,{'pbe': {}},
B6Eu6N12,167,"{'pbe': {'am': 40.87, 'tm': 36.0}}",
C8F18K2O6S2,2,{'pbe': {}},
Na2O24P6Ti4,167,{'pbe': {}},
Cs3F6Tl,139,{'pbe': {}},
O14Sc4Si4,227,{'pbe': {}},
Cr2F10K4O2,15,"{'pbe': {'am': 2.89, 'tm': 2.0}}",
As4BrNO6,191,"{'pbe': {'am': 3.95, 'tm': 1.9100000000000001}}",
Ir2Nb6,223,{'pbe': {}},
B24Lu8Ru4,55,{'pbe': {}},
F18In3Li3Zn3,150,{'pbe': {}},
C8Si8,160,{'pbe': {}},
As4Fe2,58,"{'pbe': {'am': 0.1, 'tm': 0.07}}",
Na8O18Si6Sn,166,{'pbe': {}},
Cr4O12Re2,136,"{'pbe': {'am': 12.24, 'tm': 10.6}}",
LuMn2Si2,139,"{'pbe': {'am': 4.21, 'tm': 3.54}}",
F2Sb2Sr2Zn2,129,{'pbe': {}},
As8H16O36V4,130,"{'pbe': {'am': 5.07, 'tm': 4.0}}",
Br4K2Pt,123,{'pbe': {}},
Ni8O16Si4,62,"{'pbe': {'am': 15.97, 'tm': 15.57}}",
C8K4N8Pd2S8,14,{'pbe': {}},
F24K4P4,205,{'pbe': {}},
As8Mn12O32,14,"{'pbe': {'am': 60.03, 'tm': 60.0}}",
Ca,191,{'pbe': {}},['hp']
Al16Y24,72,{'pbe': {}},
Cs4Mg4O16P4,62,{'pbe': {}},
AgF3Ni,221,"{'pbe': {'am': 1.16, 'tm': 1.15}}",
Ge7Ni16Ta6,225,{'pbe': {}},
CdCr4Cs2H4O16,2,{'pbe': {}},
Cu2O5S2Sc2Sr3,139,{'pbe': {}},
Ge4Rh8,62,{'pbe': {}},
Mn5O8,12,"{'pbe': {'am': 18.39, 'tm': 18.22}}",
Bi4Se3,166,{'pbe': {}},
Mn8Zr26,227,{'pbe': {}},
Cs4O20V8,14,"{'pbe': {'am': 4.99, 'tm': 4.0}}",
Ca2Na2O10Ta3,139,{'pbe': {}},
Ca2O28Os2,227,"{'pbe': {'am': 10.57, 'tm': 8.0}}",
N2Tc2,194,{'pbe': {}},"['th', 'hp']"
Lu4O14Ti4,227,{'pbe': {}},
Mn8Sc4,194,{'pbe': {}},
Ba2S6Ta2,194,{'pbe': {}},
AlZr3,221,{'pbe': {}},
B40H56,13,{'pbe': {}},
Te6Tl10,140,{'pbe': {}},
As4Cs4Ni2,63,"{'pbe': {'am': 0.11, 'tm': 0.07}}",
CdF6Mn,148,"{'pbe': {'am': 3.24, 'tm': 3.0}}",
Ba4O28Pr8Sc8,136,"{'pbe': {'am': 16.99, 'tm': 16.0}}",
Na2O4Tb2,141,"{'pbe': {'am': 12.0, 'tm': 12.0}}",
Cd2P4Si2,122,{'pbe': {}},
Li2PdSb,216,{'pbe': {}},
Na8O28P8,14,"{'pbe': {'am': 8.89, 'tm': 8.02}}",
Cl12Cu4H16Li4O8,14,"{'pbe': {'am': 4.37, 'tm': 4.0}}",
Bi2K6,194,{'pbe': {}},
Fe8Ge4Y2,136,"{'pbe': {'am': 16.41, 'tm': 13.52}}",
K2Nb2S4,194,{'pbe': {}},
F8O12Os4,14,{'pbe': {}},
Al4Mg2O14Si2,2,"{'pbe': {'am': 4.33, 'tm': 4.15}}",
NTi,216,{'pbe': {}},['th']
Co4Mo4P4,62,{'pbe': {}},
Cl2La2O2,129,{'pbe': {}},
S6Sr2Ti2,194,{'pbe': {}},
As6Rh7Yb4,229,{'pbe': {}},
K4N8O24Pd2,14,{'pbe': {}},
Nb6Os2,223,{'pbe': {}},
C8H24Zn4,14,{'pbe': {}},
Lu2Mo2O28,227,{'pbe': {}},
CuH6O14Pb4S2,2,"{'pbe': {'am': 1.11, 'tm': 1.0}}",
CaLi2Si,216,{'pbe': {}},
Fe3H6O14PPbS,160,"{'pbe': {'am': 14.33, 'tm': 14.29}}",
O2Sn,225,{'pbe': {}},['th']
CrCu2In,225,"{'pbe': {'am': 3.93, 'tm': 3.5300000000000002}}",['th']
As2Mn2N2O10,31,"{'pbe': {'am': 6.43, 'tm': 5.98}}",
HK,225,{'pbe': {}},['ht']
F6N2Pt,164,"{'pbe': {'am': 7.42, 'tm': 4.0}}",
C8H24Au2N2,129,{'pbe': {}},
K2O16P4Zn4,2,"{'pbe': {'am': 2.58, 'tm': 2.33}}",
CuORb,216,{'pbe': {}},['th']
Ba2Co8O14Y2,186,"{'pbe': {'am': 26.31, 'tm': 26.0}}",
As4Ta2,12,{'pbe': {}},
As36Zr56,58,{'pbe': {}},
Al6Ru2Sc4,194,{'pbe': {}},
AuZr2,139,{'pbe': {}},
Ru3Sc3Si3,189,{'pbe': {}},
Cu4N32,62,"{'pbe': {'am': 2.12, 'tm': 1.9}}",
Au20Cd6Y8,64,{'pbe': {}},
Mn3O14P2Pb3Te,150,"{'pbe': {'am': 15.02, 'tm': 15.0}}",
Al4Lu4Pt4,62,{'pbe': {}},
P4Ru4Se4,14,{'pbe': {}},
K2Mn2O12W2Y2,4,"{'pbe': {'am': 10.05, 'tm': 10.0}}",['th']
AlCo2Ti,225,"{'pbe': {'am': 1.55, 'tm': -1.0}}",
H2O18Sr4V6,11,"{'pbe': {'am': 4.29, 'tm': 4.0}}",
Hf2N4,194,{'pbe': {}},['th']
Ag3Lu3Pb3,189,{'pbe': {}},
HfRu2Sn,225,{'pbe': {}},
CoGa2Hf6,189,{'pbe': {}},
Ba7Cl2O15Ru4,166,"{'pbe': {'am': 10.34, 'tm': 10.13}}",
La2Mg4,227,{'pbe': {}},
La4Si4Y2,127,{'pbe': {}},
Ga2Nb6,223,{'pbe': {}},
CrGaTiV,216,{'pbe': {}},['th']
La4Lu4S12,33,{'pbe': {}},
Eu2K4Nb10O30,127,"{'pbe': {'am': 13.49, 'tm': 12.0}}",
MnTeTi,216,"{'pbe': {'am': 2.36, 'tm': 1.01}}",['th']
As2Ru2Sr,139,{'pbe': {}},
Ag2Br2,11,{'pbe': {}},['hp']
S2TlY,166,{'pbe': {}},
Br6N2Pd,225,"{'pbe': {'am': 6.4, 'tm': 4.97}}",
C8H24K4N4O16S8,14,{'pbe': {}},
Ni8Sb16,61,{'pbe': {}},
Bi4Mn4O12,15,"{'pbe': {'am': 16.45, 'tm': 16.0}}",
F6FeTl3,225,"{'pbe': {'am': 5.05, 'tm': 5.0}}",
As6Hf4K2O24,167,{'pbe': {}},
C8Ni10W24,227,{'pbe': {}},
CuGa5Mo2,115,{'pbe': {}},['th']
Mg12O12,15,{'pbe': {}},['th']
Ag2F2Se2Sr2,129,{'pbe': {}},
Cl20Nb12O8,58,{'pbe': {}},
As2K2Sn2,186,{'pbe': {}},
InO6OsSr2,225,"{'pbe': {'am': 3.08, 'tm': 3.0}}",
As12EuFe4,204,"{'pbe': {'am': 9.07, 'tm': 4.98}}",
Al8Ba14Sb18,59,{'pbe': {}},
AgORb,216,"{'pbe': {'am': 0.15, 'tm': 0.1}}",['th']
N12O28Pd2,14,{'pbe': {}},
In12Rh4,136,{'pbe': {}},
AgCl6Cs2Tb,225,"{'pbe': {'am': 6.0, 'tm': 6.0}}",
Ca2Ge2O10Zr2,2,{'pbe': {}},
I3Sn,221,{'pbe': {}},
Hg6Rb4S16Sn4,14,{'pbe': {}},
Hg12O16P4,14,{'pbe': {}},
C16N24Zn4,62,{'pbe': {}},
Cs2La2O16W4,15,{'pbe': {}},
Ge4Pb4S12,14,{'pbe': {}},
B2Zr,191,{'pbe': {}},
Ge4Na8S12,14,{'pbe': {}},
Na6O18P4V2,11,{'pbe': {}},
Pb6Si2Zr10,193,{'pbe': {}},
Ca2Cu4O6,59,{'pbe': {}},
H8Mg4,29,{'pbe': {}},['hp']
Ag6Cs2Gd4Se10,63,"{'pbe': {'am': 28.15, 'tm': 27.98}}",
As6Cl2O24Pb10,176,{'pbe': {}},
Pd2SnTb,225,"{'pbe': {'am': 5.99, 'tm': 5.94}}",
Pt2Sb2,194,{'pbe': {}},
As2Cd2K2,129,{'pbe': {}},
Ga4Zr4,141,{'pbe': {}},
Cu4Sb4Sr2,129,{'pbe': {}},
Cl6Zr2,162,"{'pbe': {'am': 2.09, 'tm': 2.0}}",
NaSe2Ti,166,"{'pbe': {'am': 1.13, 'tm': 0.97}}",
Pb10S34Sb16,15,{'pbe': {}},
C4Cl8O12Pb8,127,{'pbe': {}},
CdLa2Ni2,65,{'pbe': {}},
P16Si8,55,{'pbe': {}},
